Status Code,Action Code,Source,Category,Sub-Category,Denial Reason,CARC Code,RARC Code
Patient Cannot be Identified as Our Insured,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Patient cannot be identified as our insured,31,MA61
Patient Not Found CPSI,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Patient Account Numbe Invalid,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,-
POS & Procedure Not Matched,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Incorrect/Invalid/Missing POS|TOB,The procedure code/bill type is inconsistent with the place of service,5,M97
POS & Procedure Not Matched,To Fix split claim,Analyse|Web|Call,Assistance Needed From NSHA,Incorrect/Invalid/Missing POS|TOB,The procedure code/bill type is inconsistent with the place of service,5,M97
Primary Carrier EOB Missing,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided,252,N4
Primary Carrier EOB Missing,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,MA04
Primary Carrier EOB Missing,Paper Submission Required EOB,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided,252,N4
Primary Paid More Than Secondary Allowable,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Paid,The impact of prior payer(s) adjudication including payments and/or adjustments,23,275
Referral absent,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Authorization/Referral,Referral absent,288,N630
Referral Date Missing,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Referral Date Missing,Claim/service lacks information or has submission/billing error(s). ,16,N335
Rendering Provider/Group is Not Eligible,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,Enrolment Expired/Pending,The rendering provider is not eligible to perform/render the service billed,185,N530
Reporting Code Not Payable,Recommend Adjust Off (0501F-0503F Codes are not payable),Analyse|Web|Call,Assistance Needed From NSHA,Reporting Code Not Payable,This procedure code is for quality reporting/informational purposes only.,115,N782
Requested MR/Itemized Bill,Paper Submission Required EOB,Analyse|Web|Call,Assistance Needed From NSHA,Document Requested Itemized Bill | MR,The attachment/other documentation is not required for adjudication of this claim/service,251,N29
Revenue and Procedure Code Mismatch,Coding Assistance,Analyse|Web|Call,Assistance Needed From NSHA,Procedure Related,Revenue code and Procedure code do not match.,199,N381
TPL Form Required,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,TPL Form Required,Claim/service lacks information or has submission/billing error(s).,16,N179
Claim Forwarded to Correct Payer,Allow Time Payment Posting,Call,Jorie Resolved,Paid,The claim/service has been transferred to the proper payer/processor for processing. Claim/service not covered by this payer/processor.,B11,-
Workers' Comp Fee Schedule Adjustment,Procedure Already Paid | Ignored,Analyse|Web|Call,Assistance Needed From NSHA,Claim Paid Reduction Rate,Processed based on multiple or concurrent procedure rules,59,P12
Wrong Payer Billed,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N193
Wrong Payer Billed,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N418
Pending,Pending,Pending,Pending,Pending,-,-,-
Queue Not Found,Queue Not Found,Queue Not Found,Queue Not Found,Queue Not Found,-,-,-
Out of Network | Paid & Deductible Applied,No Other Payer Found | Recommend Balance Transfer to Patient,Analyse|Web|Call,Assistance Needed From NSHA,No Secondary Active - Bal Transfer to Patient,Services not provided by network/primary care providers.,242,N513
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N130
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N130
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N389
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N56
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N784
Incorrect/Invaild/Missing Cpt,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,M51
Incorrect/Invalid/Missing Dx,Coding Assistance,Analyse|Web|Call,Exception,ICD Related,The diagnosis is inconsistent with the procedure,11,N19
Incorrect/Invalid/Missing Modifier,Coding Assistance,Analyse|Web|Call,Exception,Modifier Related,The procedure code is inconsistent with the modifier used or a required modifier is missing,4,M55
Incorrect/Invalid/Missing Modifier,Coding Assistance,Analyse|Web|Call,Exception,Modifier Related,The procedure code is inconsistent with the provider type/specialty (taxonomy).,8,N823
Invalid/Missing NCD|LCD,Coding Assistance,Analyse|Web|Call,Exception,ICD Related,This decision was based on a National Coverage Determination (NCD). An NCD provides a coverage determination as to whether a particular item or service is covered.,11,N19
Invalid/Missing NDC Code,Client Assistance Required,Analyse,Assistance Needed From NSHA,NDC Code Missing,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,16,M119
Mutually Exclusive Procedures,Coding Assistance,Analyse|Web|Call,Exception,Bundled,Mutually exclusive procedures cannot be done in the same day/setting,231,N171
Mutually Exclusive Procedures,Coding Assistance,Analyse|Web|Call,Exception,Bundled,Mutually exclusive procedures cannot be done in the same day/setting,59,N171
New Patient Qualifications were not met,Coding Assistance,Analyse|Web|Call,Exception,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,B16
Not Deemed Medical Necessity,Coding Assistance,Analyse|Web|Call,Exception,ICD Related,These are non-covered services because this is not deemed a medical necessity by the payer,50,N488
Payments Included with Another CPT,Coding Assistance,Analyse|Web|Call,Exception,Bundled,The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated,97,M15
This Procedure is not Paid Separately,Coding Assistance,Analyse|Web|Call,Exception,Bundled,This procedure is not paid separately. At least one Remark Code must be provided,234,M15
Zero Charges Billed,Client Assistance Required,Analyse|Web|Call,Assistance Needed From NSHA,No Charges,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,16,M79
Duplicate Claim,Claim Already Paid | Ignored,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
Duplicate Claim,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
Duplicate Claim,Duplicate Charges | Required Adjustment,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
Duplicate Claim,Sent Back For Reprocessing,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
Expenses Incurred After Coverage Terminated,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Expenses incurred after coverage terminated,27,N30
Expenses Incurred Prior to Coverage,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Expenses incurred prior to coverage.,26,N30
Incorrect/Invaild/Missing Cpt,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Procedure Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N784
Incorrect/Missing Value code Amount,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Value code Amount,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,-
Invalid Authorization,Sent Back For Reprocessing,Analyse|Web|Call,Jorie Resolved,Authorization/Referral,Precertification/authorization/notification/pre-treatment absent.,197,M62
Mismatch Provider,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Mismatch Rendering Provider,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,N521
Missing/incomplete/invalid NPI,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,National Provider Identifier - Missing,National Provider Identifier - missing,206,N274
No Denial | Claim Paid,Allow Time Payment Posting,Analyse|Web|Call,Jorie Resolved,Paid,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,151,N317
No Denial | Claim Paid,Allow Time Payment Posting,Analyse|Web|Call,Jorie Resolved,Paid,No deductible may be collected as patient is a Medicaid/Qualified Medicare Beneficiary,45,N781
No Denial | Claim Paid,Claim Already Paid | Ignored,Analyse|Web|Call,Jorie Resolved,Exceeded Units/Visits,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,151,N317
No Denial | Claim Paid,Payment Already Posted In CPSI | Ignored,Analyse|Web|Call,Jorie Resolved,Paid,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,151,N317
No Denial | Claim Paid,Secondary Claim Submission,Analyse|Web|Call,Jorie Resolved,Paid,The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated,97,M15
Non-Covered Service Under Patient,Sent Back For Reprocessing,Analyse|Web|Call,Jorie Resolved,Non-Covered Service,This drug/service/supply is not included in the fee schedule or contracted/legislated fee arrangement.,96,N448
NPI Missing in Claim Form,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Attending Provider NPI Missing,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,M68
Occurrence Code/Date Related,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Occurrence Code/Date Related,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,MA100
Paid & Deductible Applied,Allow Time Payment Posting,Analyse|Web|Call,Jorie Resolved,Paid,Exact duplicate claim/service,18,N389
Patient Cannot be Identified as Our Insured,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Patient cannot be identified as our insured,31,MA61
Payment Reversal,Claim Already Paid | Ignored,Analyse|Web|Call,Jorie Resolved,Duplicate Billing,Exact duplicate claim/service,18,N389
POS & Procedure Not Matched,Claim Ignored_Already Paid,Analyse|Web|Call,Jorie Resolved,Incorrect/Invalid/Missing POS|TOB,The procedure code/bill type is inconsistent with the place of service,5,M97
POS & Procedure Not Matched,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Incorrect/Invalid/Missing POS|TOB,The procedure code/bill type is inconsistent with the place of service,5,M97
Primary Carrier EOB Missing,Primary EOB Submitted,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided,252,N4
Primary Carrier EOB Missing,Primary EOB Submitted,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,MA04
Primary Carrier EOB Missing,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service lacks information or has submission/billing error(s) which is needed for adjudication,16,MA04
Primary Carrier EOB Missing,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided,252,N4
"Procedure Postponed, Canceled, or Delayed",Denial Ignored,Analyse|Web|Call,Jorie Resolved,Claim Voided,"Procedure postponed, canceled, or delayed.",115,N650
Referral absent,Corrected Claim Resubmitted,Analyse|Web|Call,Jorie Resolved,Authorization/Referral,Referral absent,288,N630
Requested MR/Itemized Bill,Documents Submitted,Analyse|Web|Call,Jorie Resolved,Document Requested Itemized Bill | MR,The attachment/other documentation is not required for adjudication of this claim/service,251,N29
Services not Provided By Network,Procedure Already Paid | Waiting Payment Posting,Analyse|Web|Call,Jorie Resolved,Bundled,Services not provided by network/primary care providers,242,M15
Unable to Connect Call/Email/Web,Left Voice Message,Analyse|Web|Call,Jorie Resolved,Left Voice Mail,An attachment/other documentation is required to adjudicate this claim/service. At least one Remark Code must be provided,252,N4
Unable to Connect Call/Email/Web,Left Voice Message,Analyse|Web|Call,Jorie Resolved,Left Voice Mail,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N103
Work-Related Injury Indicated,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier,19,N728
Wrong Payer Billed,Already Paid by Correct Insurance | Ignored,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N103
Wrong Payer Billed,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N193
Wrong Payer Billed,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,109,N418
Wrong Payer Billed,Verified | Submitted to Correct Insurance,Analyse|Web|Call,Jorie Resolved,Eligibility / Coverage,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor,109,N418
